cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_h,effect_value
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,85.0958622878045
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,81.922609386694
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,88.92823023323663
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,109.28783114285542
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,80.12525112343431
1912249,Atrazine,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,95.52651830177119
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,4.880159799347273
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,3.768791259169477
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,6.454006985451805
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,6.384807746238914
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,5.4184302260806705
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,6.0063522439599115
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,5.853858221267659
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,5.530801644106528
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,45.42781739922665
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,52.26957779016215
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,58.874696702492564
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,26.851586781588846
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,27.187006920685562
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,61.034581932274435
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,37.74572481120001
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,34.27567468167553
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,57.485787120733356
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,63.23004895050786
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,88.61548959617379
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,74.80496684877552
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,61.67403880111296
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,81.25935159309884
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,66.26195750393549
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,66.86084168824111
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,1.1715976853891106
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,1.3703692729748083
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,0.959360162836995
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,0.754842713843932
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,0.8616644883747042
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,0.5950818723282806
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,1.2554335867640734
2921882,Chlorpyrifos,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,1.5443271343986977
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,25.23729451093363
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,28.847367424561124
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,31.64342753685908
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,25.222297662786236
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,33.99544414539917
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,25.092070662177818
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,22.496129198937947
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,41.21928061209381
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,1.9518091882788784
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,1.5427848920844418
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,1.7261563856443287
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,1.5436690672572329
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,1.281679601860834
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,1.5198172870524287
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,1.482222916019164
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,1.5116477559408412
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,0.41925377352622006
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,0.40255162259015137
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,0.4243443210640617
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,0.5298268796523662
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,0.42961505566683034
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,0.4809393054263984
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,0.7954190831948789
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,0.7368998584604302
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,6.683327972761839
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,7.8246088520217825
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,8.422754486898631
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,6.892834845522376
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,6.394828732263372
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,8.318431438630835
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,11.422785255796319
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,13.834009299638646
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,9.044958894748916
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,5.473853378510808
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,10.109627574857798
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,5.756094289024316
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,9.087771113698505
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,7.924516213553069
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,5.919155342094795
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,5.049255633097488
114261,Propoxur,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,68.05875801013418
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,42.51442188540304
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,58.216662275395954
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,43.4498041811646
114261,Propoxur,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,60.987700828563455
114261,Propoxur,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,23.088040161583592
114261,Propoxur,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,48.203476279242906
114261,Propoxur,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,53.923418167251775
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,5.6801443017826925
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,2.4269266890866517
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,7.4247758261132075
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,3.6585125584614517
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,3.919242060927397
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,7.209350484383709
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,5.680484369514081
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,4.644093573049629
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,5.1974628437985535
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,9.227513605387896
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,4.945233423876576
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,5.939036350724217
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,2.4154801591272683
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,3.8751578364364145
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,6.078016745277325
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,4.718264584720961
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,2.2747968192392
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,0.9877722749179648
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,2.253125548521669
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,1.2657077596955264
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,0.5364874171673477
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,2.8700511384581957
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,1.5636277136987504
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,3.2453797338364816
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,NA,8.581637345451412
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,NA,10.126823691619409
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,NA,11.214623654395577
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,NA,6.148602308774571
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,NA,11.051139544782233
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,NA,10.620678252145098
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,NA,9.146460555566295
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,NA,9.752695172168568
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,54.48868642264738
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,52.629670258984895
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,60.54726036485661
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,59.447574908092335
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,35.039796844616305
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,45.632603941908435
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,45.47319833606402
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,64.6818651435207
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,11.945793573602622
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,12.894873320777506
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,15.79389811358062
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,13.837600128203936
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,12.913081252948443
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,11.384155169736609
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,12.222222831191337
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,14.126261555055557
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,107.1477292060107
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,127.87543170417375
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,131.26427317232887
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,80.0930912266882
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,97.47673400780538
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,140.63799763005113
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,115.79448057337228
63252,Carbaryl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,100.2115921604102
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,145.74768874932988
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,195.24695854035465
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,169.78416370092975
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,123.03551232035369
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,129.55843228593326
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,221.34560313949225
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,126.85769997778502
5234684,Carboxin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,179.36442246680735
121755,Malathion,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,82.73495961515448
121755,Malathion,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,81.82636009798172
121755,Malathion,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,856.0073913998928
121755,Malathion,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,64.59586122290091
121755,Malathion,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,78.2862206674873
121755,Malathion,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,64.62801093765417
121755,Malathion,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,44.42604933174555
121755,Malathion,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,118.80690790033582
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,77.25663360860347
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,97.40066576421923
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,85.9479516742126
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,73.61289674429037
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,87.68354933943252
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,79.5722114086074
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,78.39875710046317
8018017,Mancozeb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,108.63308907496797
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,5.205423814467019
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,8.326317843579345
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,5.526586341103439
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,5.905979178963564
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,5.6743911495373425
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,4.45823508041126
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,5.63435994574766
16752775,Methomyl,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,6.336796123093809
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,3.451315971367708
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,5.16083578225264
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,5.203071959599393
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,4.099531620999296
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,3.3384069918899346
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,4.405992319115315
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,5.126850447111635
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,6.176541972758909
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,17.76809342588968
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,16.11664196264392
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,17.014190778338605
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,12.009190674958822
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,18.34998388225973
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,14.349822638914862
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,13.485092309505616
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,23.568076783918624
114261,Propoxur,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,133.1031568051438
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,155.24472584040774
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,116.69216786050016
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,125.12229652779864
114261,Propoxur,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,111.394089584235
114261,Propoxur,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,125.08713176793067
114261,Propoxur,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,96.55851390953157
114261,Propoxur,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,115.65514669537868
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,38.59613095325288
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,39.97799000155981
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,28.992245972880593
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,16.31990789232693
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,33.410552849868665
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,31.532404992450296
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,56.63337882357266
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,54.91887084290124
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,NA,12.098921603693693
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,NA,13.725420463137404
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,NA,10.90251470648176
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,NA,6.724751667492793
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,NA,6.674214174264022
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,NA,12.154660256101067
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,NA,11.248155615274797
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,NA,14.653107037993788
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC90,NA,135.9620021268041
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC90,NA,173.83787407339796
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC90,NA,163.33281976809178
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC90,NA,184.2074891646655
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC90,NA,112.84828893427952
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC90,NA,114.20203346008272
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC90,NA,149.5438717093946
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC90,NA,167.94630744814563
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC90,NA,34.9039888035786
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC90,NA,47.45215667846762
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC90,NA,28.634357269661688
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC90,NA,25.055298510748422
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,MY16,NA,EC90,NA,37.05219951805699
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC90,NA,25.9848556327185
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,RC301,NA,EC90,NA,30.721902718561168
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC90,NA,110.00715425294015
114261,Propoxur,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC90,NA,260.31110278058054
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC90,NA,566.8882189254997
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC90,NA,233.9031732112556
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC90,NA,360.3143761733459
114261,Propoxur,NEMATODE,Caenorhabditis elegans,MY16,NA,EC90,NA,203.46140329476046
114261,Propoxur,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC90,NA,677.7011138417255
114261,Propoxur,NEMATODE,Caenorhabditis elegans,RC301,NA,EC90,NA,193.42062706029452
114261,Propoxur,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC90,NA,248.05758632810478
94757,"2,4-D",ALGAE,Chlorella vulgaris,NA,C,NOEC,96,100
94757,"2,4-D",ALGAE,Raphidocelis subcapitata,NA,C,NOEC,96,100
94757,"2,4-D",FISH,Oncorhynchus mykiss,NA,A,LC50,96,2400
94757,"2,4-D",FISH,Rasbora heteromorpha,NA,A,LC50,96,3100
94757,"2,4-D",FISH,Oncorhynchus mykiss,NA,A,LC50,48,2.2
94757,"2,4-D",FISH,Oncorhynchus mykiss,NA,A,LC50,48,2400
94757,"2,4-D",FISH,Rasbora heteromorpha,NA,A,LC50,48,3100
